dataset,worker,prototype,weight
CF,1527,1,0.051044578107422564
CF,1535,0,0.9465657432562982
CF,1535,1,0.05343425674370183
CF,1536,0,0.9461857631031643
CF,1536,1,0.05381423689683579
CF,1540,0,0.9512816451262068
CF,1540,1,0.04871835487379317
CF,1544,0,0.9513513088864409
CF,1544,1,0.048648691113559
CF,1550,0,0.9469409136882122
CF,1550,1,0.053059086311787726
CF,1553,0,0.9513513197785111
CF,1553,1,0.0486486802214889
CF,1564,0,0.9388665835900962
CF,1564,1,0.06113341640990382
CF,1565,0,0.9110206299340512
CF,1565,1,0.0889793700659487
CF,1566,0,0.8438755916255887
CF,1566,1,0.15612440837441136
CF,1567,0,0.13548591930649367
CF,1567,1,0.8645140806935063
CF,1570,0,0.36656734851105816
CF,1570,1,0.6334326514889419
CF,1571,0,0.06672275015946447
CF,1571,1,0.9332772498405355
CF,1572,0,0.5617015514839465
CF,1572,1,0.43829844851605343
CF,1578,0,0.9408304389445259
CF,1578,1,0.05916956105547408
CF,1580,0,0.9513513088864067
CF,1580,1,0.04864869111359327
CF,1581,0,0.2144074993292185
CF,1581,1,0.7855925006707815
CF,1583,0,0.9512816448855733
CF,1583,1,0.048718355114426584
CF,1585,0,0.9433854840417917
CF,1585,1,0.05661451595820826
CF,1591,0,0.2462921975412073
CF,1591,1,0.7537078024587928
CF,1593,0,0.9365109903509381
CF,1593,1,0.06348900964906182
CF,1595,0,0.9396036655491645
CF,1595,1,0.060396334450835566
CF,1604,0,0.948017717180235
CF,1604,1,0.051982282819765135
CF,1605,0,0.9433853404869988
CF,1605,1,0.05661465951300116
CF,1614,0,0.8271161233409206
CF,1614,1,0.17288387665907934
CF,1620,0,0.9445643451933503
CF,1620,1,0.055435654806649824
CF,1622,0,0.46782778937967373
CF,1622,1,0.5321722106203262
CF,1628,0,0.8977224857559707
CF,1628,1,0.1022775142440292
CF,1630,0,0.9513513197783673
CF,1630,1,0.04864868022163266
CF,1637,0,0.9513513197785004
CF,1637,1,0.04864868022149964
CF,1638,0,0.7770735244131988
CF,1638,1,0.22292647558680123
CF,1642,0,0.06414437128915336
CF,1642,1,0.9358556287108466
CF,1658,0,0.9513512974695205
CF,1658,1,0.04864870253047949
CF,1660,0,0.135894122464731
CF,1660,1,0.864105877535269
CF,1663,0,0.9446730235456389
CF,1663,1,0.05532697645436106
CF,1666,0,0.4134973241752447
CF,1666,1,0.5865026758247553
CF,1674,0,0.6461004289113126
